taxon_id,taxon_kind,scientific_name,language,common_name,source,source_priority,confidence,display_status,reviewer,notes,apply_status
taxon:birds:000019,canonical_taxon,Coccothraustes coccothraustes,fr,Gros-bec casse-noyaux,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000019,canonical_taxon,Coccothraustes coccothraustes,en,Hawfinch,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000019,canonical_taxon,Coccothraustes coccothraustes,nl,Appelvink,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000020,canonical_taxon,Phoenicurus ochruros,fr,Rougequeue noir,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000020,canonical_taxon,Phoenicurus ochruros,en,Black Redstart,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000020,canonical_taxon,Phoenicurus ochruros,nl,Zwarte Roodstaart,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000021,canonical_taxon,Anas platyrhynchos,fr,Bourre,inaturalist:all_names,1,source_attested,displayable_source_attested,system/source_policy,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000021,canonical_taxon,Anas platyrhynchos,nl,Wilde Eend,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000022,canonical_taxon,Anser anser,fr,Oie cendrée,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
taxon:birds:000022,canonical_taxon,Anser anser,nl,Grauwe Gans,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
